"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":79,""recordImported"":79,""recordsReceived"":79,""recordsImported"":79,""errorDetails"":null,""defectiveRowNos"":0}","14/07/2025, 15:00:28"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":16,""recordImported"":16,""recordsReceived"":16,""recordsImported"":16,""errorDetails"":null,""defectiveRowNos"":0}","18/07/2025, 00:00:08"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":20,""recordImported"":20,""recordsReceived"":20,""recordsImported"":20,""errorDetails"":null,""defectiveRowNos"":0}","19/07/2025, 00:00:10"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":44,""recordImported"":44,""recordsReceived"":44,""recordsImported"":44,""errorDetails"":null,""defectiveRowNos"":0}","20/07/2025, 00:00:18"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":33,""recordImported"":33,""recordsReceived"":33,""recordsImported"":33,""errorDetails"":null,""defectiveRowNos"":0}","21/07/2025, 12:00:22"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":39,""recordImported"":39,""recordsReceived"":39,""recordsImported"":39,""errorDetails"":null,""defectiveRowNos"":0}","22/07/2025, 00:00:16"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":18,""recordImported"":18,""recordsReceived"":18,""recordsImported"":18,""errorDetails"":null,""defectiveRowNos"":0}","23/07/2025, 00:00:10"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":14,""recordImported"":14,""recordsReceived"":14,""recordsImported"":14,""errorDetails"":null,""defectiveRowNos"":0}","24/07/2025, 09:00:17"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":18,""recordImported"":18,""recordsReceived"":18,""recordsImported"":18,""errorDetails"":null,""defectiveRowNos"":0}","25/07/2025, 00:00:11"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":22,""recordImported"":22,""recordsReceived"":22,""recordsImported"":22,""errorDetails"":null,""defectiveRowNos"":0}","26/07/2025, 00:00:15"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":18,""recordImported"":18,""recordsReceived"":18,""recordsImported"":18,""errorDetails"":null,""defectiveRowNos"":0}","27/07/2025, 00:00:13"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":82,""recordImported"":82,""recordsReceived"":82,""recordsImported"":82,""errorDetails"":null,""defectiveRowNos"":0}","28/07/2025, 00:00:19"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":18,""recordImported"":18,""recordsReceived"":18,""recordsImported"":18,""errorDetails"":null,""defectiveRowNos"":0}","29/07/2025, 00:00:12"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":20,""recordImported"":20,""recordsReceived"":20,""recordsImported"":20,""errorDetails"":null,""defectiveRowNos"":0}","30/07/2025, 00:00:12"
